"Sample IDs","Animal IDs","Months","Dilutions","Assay","Reaction","Threshold","reps","mean_MPR","mean_MS","mean_TtT","mean_RAF","thres_pos"
"S-1091","Y-18",6,-3,"RT-QuIC","20250821_r6_GR_USDA-oral-swabs_RT-QuIC",2,4,1.82614098691159,0.148236616828293,72,0.0138888888888889,FALSE
"S-1092","1905",6,-3,"Nano-QuIC","20250821_r13_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.18350276283096,0.107319197878334,72,0.0138888888888889,FALSE
"S-1092","1905",6,-3,"RT-QuIC","20250821_r6_GR_USDA-oral-swabs_RT-QuIC",2,4,2.20198231570473,0.463277351370234,68.2431506849315,0.014699945578321,FALSE
"S-1093","B-167",6,-3,"Nano-QuIC","20250821_r13_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.19823258245707,0.111059344289707,72,0.0138888888888889,FALSE
"S-1093","B-167",6,-3,"RT-QuIC","20250821_r6_GR_USDA-oral-swabs_RT-QuIC",2,4,1.82320507203067,0.159132324572749,72,0.0138888888888889,FALSE
"S-1094","1904",6,-3,"Nano-QuIC","20250821_r13_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.37719757943513,0.23705292248782,71.8329545454545,0.0139214140062448,FALSE
"S-1094","1904",6,-3,"RT-QuIC","20250821_r6_GR_USDA-oral-swabs_RT-QuIC",2,4,2.7200025885289,0.45224942527459,65.2916666666667,0.0159517220172202,FALSE
"S-1095","1943",6,-3,"Nano-QuIC","20250821_r13_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,3.15276785880967,0.637650166859778,71.3039262820513,0.0140285636998174,FALSE
"S-1095","1943",6,-3,"RT-QuIC","20250821_r6_GR_USDA-oral-swabs_RT-QuIC",2,4,1.78582196907919,0.138897368808671,72,0.0138888888888889,FALSE
"S-1096","O-39",6,-3,"Nano-QuIC","20250821_r13_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.82656087117566,0.445546259900402,70.4302248677249,0.0142206316460367,FALSE
"S-1096","O-39",6,-3,"RT-QuIC","20250821_r6_GR_USDA-oral-swabs_RT-QuIC",2,4,1.77695752522036,0.154270274407538,72,0.0138888888888889,FALSE
"S-1097","Y-15",6,-3,"Nano-QuIC","20250821_r13_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.19554300614698,0.126128342352555,72,0.0138888888888889,FALSE
"S-1097","Y-15",6,-3,"RT-QuIC","20250821_r6_GR_USDA-oral-swabs_RT-QuIC",2,4,1.76145300494617,0.164547742008719,72,0.0138888888888889,FALSE
"S-1098","B-204",6,-3,"Nano-QuIC","20250821_r13_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.09483304840295,0.12408372528777,72,0.0138888888888889,FALSE
"S-1098","B-204",6,-3,"RT-QuIC","20250821_r6_GR_USDA-oral-swabs_RT-QuIC",2,4,1.73474950761888,0.149092450422796,72,0.0138888888888889,FALSE
"S-1099","B-206",6,-3,"Nano-QuIC","20250821_r13_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.13244400227516,0.139577866975339,72,0.0138888888888889,FALSE
"S-1099","B-206",6,-3,"RT-QuIC","20250821_r6_GR_USDA-oral-swabs_RT-QuIC",2,4,1.77781250736207,0.155307130139714,72,0.0138888888888889,FALSE
"S-1100","B-199",6,-3,"Nano-QuIC","20250821_r13_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,3.57831293154463,0.773815501084962,69.70411558669,0.0143965151118075,FALSE
"S-1100","B-199",6,-3,"RT-QuIC","20250821_r6_GR_USDA-oral-swabs_RT-QuIC",2,4,1.78292313965615,0.158140010422697,72,0.0138888888888889,FALSE
"S-1101","Y-23",6,-3,"Nano-QuIC","20250821_r13_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.25382922351814,0.242777466039149,71.5660714285714,0.0139746619904442,FALSE
"S-1101","Y-23",6,-3,"RT-QuIC","20250821_r6_GR_USDA-oral-swabs_RT-QuIC",2,4,1.77661941385954,0.155884608012558,72,0.0138888888888889,FALSE
"S-1102","B-158",6,-3,"Nano-QuIC","20250821_r13_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.11685216602073,0.128031997634291,72,0.0138888888888889,FALSE
"S-1102","B-158",6,-3,"RT-QuIC","20250821_r6_GR_USDA-oral-swabs_RT-QuIC",2,4,1.70020593349246,0.145231149898238,72,0.0138888888888889,FALSE
"S-1103","B-161",6,-3,"Nano-QuIC","20250821_r13_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.15224386870443,0.205490014259078,72,0.0138888888888889,FALSE
"S-1103","B-161",6,-3,"RT-QuIC","20250821_r6_GR_USDA-oral-swabs_RT-QuIC",2,4,1.73251942012537,0.134943836894877,72,0.0138888888888889,FALSE
"S-1104","B-119",6,-3,"Nano-QuIC","20250821_r13_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,3.85406335000537,0.776686323328102,64.7755153508772,0.0162168532902152,FALSE
"S-1104","B-119",6,-3,"RT-QuIC","20250821_r6_GR_USDA-oral-swabs_RT-QuIC",2,4,1.75961420276359,0.158047523238267,72,0.0138888888888889,FALSE
"S-1105","B-120",6,-3,"Nano-QuIC","20250821_r13_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.12170334020158,0.12255637800406,72,0.0138888888888889,FALSE
"S-1105","B-120",6,-3,"RT-QuIC","20250821_r6_GR_USDA-oral-swabs_RT-QuIC",2,4,2.03448331531907,0.492735825675494,71.3753004807692,0.0140137267617812,FALSE
"S-1106","O-37",6,-3,"Nano-QuIC","20250903_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,3.07194131313528,0.567093592382946,65.6119241740463,0.0155090948227115,FALSE
