"Sample IDs","Treatment","Dilutions","Assay","Reaction","MPR","MS","TtT","RAF","crossed"
NA,"N",-3,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",2.38932496075353,1.11564666666667,96,0.0104166666666667,FALSE
"pos","C",-3,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",2.4384,1.10293333333333,96,0.0104166666666667,FALSE
"pos","D",-1,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",1.86236559139785,1.17849466666667,96,0.0104166666666667,FALSE
"pos","D",-2,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",2.214859437751,1.50468533333333,96,0.0104166666666667,FALSE
"pos","D",-3,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",4.04887218045113,1.45614,89.7768456375839,0.0111387295120265,TRUE
"pos","D",-4,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",2.42244224422442,1.18371866666667,96,0.0104166666666667,FALSE
"pos","E",0,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",2.06150793650794,1.232804,96,0.0104166666666667,FALSE
"pos","E",-1,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",2.52494577006508,1.55314533333333,96,0.0104166666666667,FALSE
"pos","E",-2,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",2.5123339658444,1.475016,96,0.0104166666666667,FALSE
"pos","E",-3,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",2.30847457627119,1.26553733333333,96,0.0104166666666667,FALSE
NA,"N",-3,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",2.3861852433281,1.096808,96,0.0104166666666667,FALSE
"pos","C",-3,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",2.52040816326531,1.19954666666667,96,0.0104166666666667,FALSE
"pos","D",-1,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",1.89462365591398,1.22437333333333,96,0.0104166666666667,FALSE
"pos","D",-2,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",2.38543897216274,1.46752266666667,96,0.0104166666666667,FALSE
"pos","D",-3,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",2.77572016460905,1.60768133333333,96,0.0104166666666667,FALSE
"pos","D",-4,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",4.30655737704918,1.2087432,70.7434402332362,0.0141355862353184,TRUE
"pos","E",0,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",1.94467213114754,1.322404,96,0.0104166666666667,FALSE
"pos","E",-1,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",2.4384133611691,1.36395333333333,96,0.0104166666666667,FALSE
"pos","E",-2,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",9.51111111111111,4.7973064,68.1244394618834,0.0146790198627545,TRUE
"pos","E",-3,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",2.2003367003367,1.14478133333333,96,0.0104166666666667,FALSE
NA,"N",-3,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",2.47798742138365,0.993710266666667,96,0.0104166666666667,FALSE
"pos","C",-3,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",2.37417218543046,1.0728476,96,0.0104166666666667,FALSE
"pos","D",-1,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",2.04195804195804,1.36441333333333,96,0.0104166666666667,FALSE
"pos","D",-2,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",2.57019438444924,1.50899866666667,96,0.0104166666666667,FALSE
"pos","D",-3,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",2.37449392712551,1.34412933333333,96,0.0104166666666667,FALSE
"pos","D",-4,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",2.21869782971619,0.986088,96,0.0104166666666667,FALSE
"pos","E",0,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",2.02947368421053,1.16210533333333,96,0.0104166666666667,FALSE
"pos","E",-1,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",2.60869565217391,1.272464,96,0.0104166666666667,FALSE
"pos","E",-2,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",12.1871101871102,4.3520444,86.6910112359551,0.0115352213077571,TRUE
"pos","E",-3,"Nano-QuIC","20250808_r13_GR_USDA-blood_Nano-QuIC",2.23809523809524,1.00453466666667,96,0.0104166666666667,FALSE
NA,"P",-3,"RT-QuIC","20250808_r2_GR_USDA-blood_RT-QuIC",8.85915492957746,5.51737093333333,16.474930362117,0.0606982838786034,TRUE
"pos","A",-1,"RT-QuIC","20250808_r2_GR_USDA-blood_RT-QuIC",1.24503311258278,0.1766,96,0.0104166666666667,FALSE
